"filename", "language", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\ReeyaEcommerce\cart.php", "PHP", 84, 0, 0, 0, 1, 85
"c:\xampp\htdocs\ReeyaEcommerce\checkout.php", "PHP", 109, 0, 0, 0, 1, 110
"c:\xampp\htdocs\ReeyaEcommerce\css\style.css", "CSS", 0, 0, 352, 4, 26, 382
"c:\xampp\htdocs\ReeyaEcommerce\js\cartCalculation.js", "JavaScript", 0, 43, 0, 11, 10, 64
"c:\xampp\htdocs\ReeyaEcommerce\order-success.php", "PHP", 193, 0, 0, 4, 25, 222
"Total", "-", 386, 43, 352, 19, 63, 863
