"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\ReeyaEcommerce\css\style.css", "CSS", 0, 0, 0, 0, 1840, 0, 39, 92, 1971
"c:\xampp\htdocs\ReeyaEcommerce\includes\connect.php", "PHP", 10, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\ReeyaEcommerce\includes\footer-menu.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 1, 45
"c:\xampp\htdocs\ReeyaEcommerce\includes\footer.php", "PHP", 2, 0, 0, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\ReeyaEcommerce\includes\header.php", "PHP", 68, 0, 0, 0, 0, 0, 7, 11, 86
"c:\xampp\htdocs\ReeyaEcommerce\includes\navbar.php", "PHP", 114, 0, 0, 0, 0, 0, 4, 12, 130
"c:\xampp\htdocs\ReeyaEcommerce\index.php", "PHP", 251, 0, 0, 0, 0, 0, 1, 16, 268
"c:\xampp\htdocs\ReeyaEcommerce\js\aboutUsSlider.js", "JavaScript", 0, 0, 0, 60, 0, 0, 11, 14, 85
"c:\xampp\htdocs\ReeyaEcommerce\js\cartCalculation.js", "JavaScript", 0, 0, 0, 61, 0, 0, 11, 15, 87
"c:\xampp\htdocs\ReeyaEcommerce\js\checkoutV.js", "JavaScript", 0, 0, 0, 76, 0, 0, 10, 15, 101
"c:\xampp\htdocs\ReeyaEcommerce\js\contactUsValidation.js", "JavaScript", 0, 0, 0, 55, 0, 0, 6, 9, 70
"c:\xampp\htdocs\ReeyaEcommerce\js\flashsalecard.js", "JavaScript", 0, 0, 0, 74, 0, 0, 10, 11, 95
"c:\xampp\htdocs\ReeyaEcommerce\js\imageslider.js", "JavaScript", 0, 0, 0, 24, 0, 0, 1, 4, 29
"c:\xampp\htdocs\ReeyaEcommerce\js\product-details.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\xampp\htdocs\ReeyaEcommerce\js\signinValidation.js", "JavaScript", 0, 0, 0, 64, 0, 0, 6, 10, 80
